Tamanho,Tipo,Primeiro Pivô,Último Pivô,Pivô Aleatório,Mediana de Três
100,Aleatório,30207,35547,109588,28995
100,Aleatório,22833,22092,107513,33423
100,Aleatório,25358,24637,145055,27753
100,Aleatório,17393,14117,69972,28004
100,Aleatório,5050,5451,26390,18225
100,Aleatório,4649,4498,20780,5891
100,Aleatório,4398,4168,15970,4509
100,Aleatório,4498,3867,10360,4128
100,Aleatório,3717,4078,10791,3998
100,Aleatório,3467,3677,10480,5371
100,Ordenado,13746,12253,7494,3206
100,Ordenado,11231,11091,7254,2324
100,Ordenado,12745,11592,7825,2344
100,Ordenado,11973,11552,7895,2294
100,Ordenado,10830,12644,7504,2264
100,Ordenado,12725,11372,7865,2625
100,Ordenado,10821,26380,7484,2375
100,Ordenado,12644,10991,7544,2946
100,Ordenado,12724,11502,6853,3417
100,Ordenado,10661,10830,6933,2264
100,Quase ordenado,7494,5701,8065,3196
100,Quase ordenado,5511,4459,7435,2886
100,Quase ordenado,5380,4369,6843,2375
100,Quase ordenado,5310,4268,7014,2335
100,Quase ordenado,6112,4538,7414,2765
100,Quase ordenado,5290,4659,7274,2414
100,Quase ordenado,6322,4268,8566,2334
100,Quase ordenado,5360,4168,6903,2875
100,Quase ordenado,5770,4218,7795,2315
100,Quase ordenado,5390,4358,7955,2254
1000,Aleatório,76675,77897,122994,80914
1000,Aleatório,76876,76124,128314,82536
1000,Aleatório,75904,75233,144715,78439
1000,Aleatório,75063,75743,119577,83528
1000,Aleatório,75824,75674,128012,78909
1000,Aleatório,75463,75954,119787,85082
1000,Aleatório,75924,75553,121691,79390
1000,Aleatório,75984,75864,122783,84551
1000,Aleatório,76896,76114,120619,79681
1000,Aleatório,76445,77327,121811,84190
1000,Ordenado,1076722,1039391,85562,24957
1000,Ordenado,1054971,1057516,81505,25398
1000,Ordenado,1054179,1070410,87827,25829
1000,Ordenado,1060471,1063396,82827,25659
1000,Ordenado,1058447,1072144,77888,25378
1000,Ordenado,1061383,1055050,77717,30568
1000,Ordenado,1056784,1060932,78699,25128
1000,Ordenado,1056033,1060121,76385,25348
1000,Ordenado,1061463,1072674,78108,25338
1000,Ordenado,1059900,1062816,79431,25409
1000,Quase ordenado,82677,88608,86505,39464
1000,Quase ordenado,67999,86804,91974,36599
1000,Quase ordenado,67498,87305,98427,36750
1000,Quase ordenado,67207,86253,90763,36129
1000,Quase ordenado,66787,89439,85572,36359
1000,Quase ordenado,67669,93147,84941,35728
1000,Quase ordenado,66656,85793,84461,36680
1000,Quase ordenado,66797,85693,89861,36539
1000,Quase ordenado,66697,85562,86785,36109
1000,Quase ordenado,66907,86123,85643,36579
10000,Aleatório,993835,995728,1444559,1009474
10000,Aleatório,976562,981882,1442626,1028921
10000,Aleatório,975189,995297,1428870,1015375
10000,Aleatório,964228,983365,1480397,1001139
10000,Aleatório,964860,978155,1411366,999656
10000,Aleatório,965040,977093,1554278,1045663
10000,Aleatório,977624,994446,1423540,989998
10000,Aleatório,955241,972875,1416456,990468
10000,Aleatório,991821,981321,1419442,989006
10000,Aleatório,963999,968426,1442435,978435
10000,Ordenado,81851683,24723535,453770,327161
10000,Ordenado,19272307,21968951,439143,99840
10000,Ordenado,18945378,21615260,438562,76205
10000,Ordenado,18897747,21417496,426870,77427
10000,Ordenado,18693040,21300674,421429,75934
10000,Ordenado,19979589,21233417,493175,77056
10000,Ordenado,18970996,21649896,489678,75483
10000,Ordenado,18903919,22129927,503294,76905
10000,Ordenado,18982869,21789411,508324,79952
10000,Ordenado,19085634,22825415,515778,79150
10000,Quase ordenado,313394,322291,602793,204949
10000,Quase ordenado,288337,304388,583587,197204
10000,Quase ordenado,289599,289319,564651,190441
10000,Quase ordenado,283939,283337,575371,186304
10000,Quase ordenado,281052,292905,573507,189109
10000,Quase ordenado,282396,291483,581552,189089
10000,Quase ordenado,296773,282255,570252,188948
10000,Quase ordenado,290290,299599,575311,188518
10000,Quase ordenado,284049,282205,567766,186664
10000,Quase ordenado,290882,301802,498977,201122
